frame_id,drone_lat,drone_lon,altitude,person_idx,bbox_x1,bbox_y1,bbox_x2,bbox_y2,est_lat,est_lon,conf
186,50.294297,18.673281,15.0,2,1832,1045,1912,1080,50.294238,18.673438,0.7396
187,50.294297,18.673281,15.0,1,838,708,928,785,50.294273,18.673268,0.785
187,50.294297,18.673281,15.0,2,1832,1040,1918,1080,50.294238,18.673438,0.7686
188,50.294297,18.673281,15.0,1,840,711,930,788,50.294273,18.673268,0.7935
189,50.294297,18.673281,15.0,1,842,714,928,790,50.294273,18.673268,0.8088
190,50.294297,18.673281,15.0,1,840,715,930,792,50.294273,18.673268,0.8182
191,50.294297,18.673281,15.0,1,842,717,932,794,50.294272,18.673268,0.8261
192,50.294297,18.673281,15.0,1,844,720,932,796,50.294272,18.673269,0.8249
193,50.294297,18.673281,15.0,1,846,721,934,797,50.294272,18.673269,0.8418
193,50.294297,18.673281,15.0,2,1854,1013,1918,1074,50.29424,18.67344,0.6176
194,50.294297,18.673281,15.0,1,846,722,934,799,50.294272,18.673269,0.8416
195,50.294297,18.673281,15.0,1,848,725,936,801,50.294272,18.673269,0.8553
196,50.294297,18.673281,15.0,1,850,727,936,803,50.294271,18.673269,0.8537
197,50.294297,18.673281,15.0,1,850,730,938,803,50.294271,18.67327,0.8379
198,50.294297,18.673281,15.0,1,850,732,940,807,50.294271,18.67327,0.8342
199,50.294297,18.673281,15.0,1,850,733,940,808,50.294271,18.67327,0.8262
200,50.294297,18.673281,15.0,1,852,735,940,811,50.294271,18.67327,0.8341
201,50.294297,18.673281,15.0,1,854,738,942,814,50.29427,18.67327,0.8213
202,50.294297,18.673281,15.0,1,854,740,944,816,50.29427,18.673271,0.8298
203,50.294297,18.673281,15.0,1,858,744,948,820,50.294269,18.673271,0.8076
204,50.294297,18.673281,15.0,1,860,747,948,821,50.294269,18.673271,0.7966
205,50.294297,18.673281,15.0,1,862,750,950,823,50.294269,18.673272,0.8328
206,50.294297,18.673281,15.0,1,864,752,950,826,50.294269,18.673272,0.8158
207,50.294297,18.673281,15.0,1,864,754,954,830,50.294268,18.673272,0.8207
208,50.294297,18.673281,15.0,1,866,756,954,831,50.294268,18.673272,0.8219
209,50.294297,18.673281,15.0,1,866,758,954,833,50.294268,18.673272,0.8218
210,50.294305,18.673274,15.0,1,868,760,956,835,50.294276,18.673266,0.8273
211,50.294305,18.673274,15.0,1,870,763,958,838,50.294275,18.673266,0.8149
212,50.294305,18.673274,15.0,1,870,768,960,840,50.294275,18.673266,0.7854
213,50.294305,18.673274,15.0,1,872,769,960,842,50.294275,18.673266,0.7989
214,50.294305,18.673274,15.0,1,874,771,962,844,50.294275,18.673267,0.8025
215,50.294305,18.673274,15.0,1,874,775,964,847,50.294274,18.673267,0.8248
216,50.294305,18.673274,15.0,1,878,778,966,850,50.294274,18.673267,0.8426
217,50.294305,18.673274,15.0,1,878,781,968,852,50.294274,18.673268,0.8504
218,50.294305,18.673274,15.0,1,880,784,970,856,50.294273,18.673268,0.8537
219,50.294305,18.673274,15.0,1,880,787,972,858,50.294273,18.673268,0.8415
220,50.294305,18.673274,15.0,1,882,788,972,860,50.294273,18.673268,0.8352
221,50.294305,18.673274,15.0,1,884,789,972,862,50.294272,18.673269,0.8277
222,50.294305,18.673274,15.0,1,886,792,974,866,50.294272,18.673269,0.8484
223,50.294305,18.673274,15.0,1,888,795,976,869,50.294272,18.673269,0.8279
224,50.294305,18.673274,15.0,1,890,799,978,871,50.294271,18.67327,0.8044
225,50.294305,18.673274,15.0,1,894,802,984,875,50.294271,18.67327,0.8065
226,50.294305,18.673274,15.0,1,894,805,984,876,50.294271,18.67327,0.7967
227,50.294305,18.673274,15.0,1,896,808,986,880,50.29427,18.673271,0.8292
228,50.294305,18.673274,15.0,1,896,810,986,883,50.29427,18.673271,0.8118
229,50.294305,18.673274,15.0,1,898,813,988,886,50.29427,18.673271,0.8357
230,50.294305,18.673274,15.0,1,900,816,990,888,50.29427,18.673271,0.8302
231,50.294305,18.673274,15.0,1,900,820,994,892,50.294269,18.673272,0.8007
232,50.294305,18.673274,15.0,1,902,822,994,895,50.294269,18.673272,0.8037
233,50.294305,18.673274,15.0,1,906,824,996,897,50.294268,18.673272,0.8228
234,50.294305,18.673274,15.0,1,906,828,998,901,50.294268,18.673273,0.804
235,50.294305,18.673274,15.0,1,908,831,998,904,50.294268,18.673273,0.8263
236,50.294305,18.673274,15.0,1,912,837,1000,906,50.294267,18.673273,0.8499
237,50.294305,18.673274,15.0,1,914,838,1000,910,50.294267,18.673273,0.8438
238,50.294305,18.673274,15.0,1,914,843,1004,914,50.294266,18.673274,0.8418
239,50.294305,18.673274,15.0,1,916,843,1008,916,50.294266,18.673274,0.8632
